time,GetCpuUsage,GetMemUsage,GetNetworkUsage
0.0,3.025,,
1.0,4.725,,
2.0,4.475,,
4.0,5.783333333333334,,
6.0,4.9125,,3072.0
7.0,4.575,,3072.0
8.0,4.574999999999999,,2048.0
9.0,4.574999999999999,,3072.0
10.0,4.574999999999999,,2560.0
11.0,4.574999999999999,,3072.0
12.0,4.574999999999999,,3328.0
13.0,4.574999999999999,,3840.0
14.0,4.574999999999999,,4096.0
15.0,3.675,,3754.6666666666665
16.0,3.675,,4096.0
18.0,5.525,,4096.0
19.0,5.025,,0.0
21.0,4.775,,0.0
22.0,5.25,,0.0
24.0,5.1,,0.0
25.0,5.2,,0.0
30.0,5.25,,0.0
31.0,4.85,,0.0
32.0,5.95,,0.0
36.0,5.75,,0.0
38.0,5.525,,0.0
39.0,5.825,,0.0
40.0,5.35,,0.0
43.0,5.35,0.2473831176757812,0.0
44.0,5.35,0.2473831176757812,0.0
45.0,3.325,0.2473831176757812,0.0
48.0,3.325,0.2473831176757812,0.0
50.0,5.825,0.2473831176757812,0.0
52.0,5.825,0.2473831176757812,0.0
55.0,5.825,0.2473831176757812,0.0
56.0,5.825,0.2473831176757812,0.0
57.0,5.825,0.2473831176757812,0.0
59.0,5.825,0.2473831176757812,0.0
63.0,5.825,0.2473831176757812,0.0
64.0,5.825,0.2473831176757812,0.0
66.0,5.825,0.2473831176757812,0.0
68.0,5.825,0.2473831176757812,0.0
71.0,5.825,0.2473831176757812,0.0
73.0,5.825,0.2473354339599609,0.0
76.0,5.825,0.2473354339599609,0.0
80.0,5.825,0.2473354339599609,0.0
83.0,5.825,0.24726390838623047,0.0
85.0,5.825,0.2472877502441406,0.0
86.0,5.825,0.24689038594563795,0.0
88.0,5.825,0.247049331665039,0.0
89.0,5.825,0.24726390838623047,0.0
92.0,5.825,0.2472400665283203,0.0
100.0,0.325,0.2472400665283203,0.0
